Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
1,1,1.0,0.0,0.0,201.0,0.0,8.05
1,2,1.0,-0.0,-0.0,202.0,0.0,8.05
1,3,1.0,-0.0,-0.0,203.0,0.0,8.05
1,4,1.0,-0.0,-0.0,204.0,0.0,8.05
1,5,1.0,-0.0,-0.0,205.0,0.0,8.05
1,6,1.0,-0.0,-0.0,206.0,0.0,8.05
1,7,1.0,-0.0,-0.0,207.0,0.0,8.05
1,8,1.0,-0.0,-0.0,208.0,0.0,8.05
1,9,1.0,-0.0,-0.0,209.0,0.0,8.05
1,10,1.0,-0.0,-0.0,210.0,0.0,8.05
1,11,1.0,-0.0,-0.0,211.0,0.0,8.05
1,12,1.0,-0.0,-0.0,212.0,0.0,0
1,13,1.0,-0.0,-0.0,213.0,0.0,0
1,14,1.0,-0.0,-0.0,214.0,0.0,0
1,15,1.0,-0.0,-0.0,215.0,0.0,0
1,16,1.0,-0.0,-0.0,216.0,0.0,0
1,17,1.0,-0.0,-0.0,217.0,0.0,0
1,18,1.0,-0.0,-0.0,218.0,0.0,0
1,19,1.0,-0.0,-0.0,219.0,0.0,0
1,20,1.0,-0.0,-0.0,220.0,0.0,0
1,21,1.0,-0.0,-0.0,221.0,0.0,0
1,22,1.0,-0.0,-0.0,222.0,0.0,0
1,23,1.0,-0.0,-0.0,223.0,0.0,0
1,24,1.0,-0.0,-0.0,224.0,0.0,8.05
1,25,1.0,-0.0,0.0,225.0,0.0,8.05
1,26,1.0,-0.0,-0.0,226.0,0.0,8.05
1,27,1.0,-0.0,-0.0,227.0,0.0,8.05
1,28,1.0,-0.0,-0.0,228.0,0.0,8.05
1,29,1.0,-0.0,-0.0,229.0,0.0,8.05
1,30,1.0,-0.0,-0.0,230.0,0.0,8.05
1,31,1.0,-0.0,-0.0,231.0,0.0,8.05
1,32,1.0,-0.0,-0.0,232.0,0.0,8.05
1,33,1.0,-0.0,-0.0,233.0,0.0,8.05
1,34,1.0,-0.0,-0.0,234.0,0.0,8.05
1,35,1.0,-0.0,-0.0,235.0,0.0,8.05
1,36,1.0,-0.0,-0.0,236.0,0.0,8.05
1,37,1.0,-0.0,-0.0,237.0,0.0,0
1,38,1.0,-0.0,-0.0,238.0,0.0,0
1,39,1.0,-0.0,-0.0,239.0,0.0,0
1,40,1.0,-0.0,0.0,240.0,0.0,0
1,41,1.0,-0.0,-0.0,241.0,0.0,0
1,42,1.0,-0.0,0.0,242.0,0.0,0
1,43,1.0,-0.0,-0.0,243.0,0.0,0
1,44,1.0,-0.0,-0.0,244.0,0.0,0
1,45,1.0,-0.0,-0.0,245.0,0.0,0
1,46,1.0,-0.0,-0.0,246.0,0.0,0
1,47,1.0,-0.0,-0.0,247.0,0.0,0
1,48,1.0,-0.0,-0.0,248.0,0.0,6.50
2,1,1.0,0.0,0.0,201.0,0.0,22.00
2,2,1.0,-0.0,-0.0,202.0,0.0,22.00
2,3,1.0,-0.0,-0.0,203.0,0.0,22.00
2,4,1.0,-0.0,-0.0,204.0,0.0,22.00
2,5,1.0,-0.0,-0.0,205.0,0.0,22.00
2,6,1.0,-0.0,-0.0,206.0,0.0,22.00
2,7,1.0,-0.0,-0.0,207.0,0.0,22.00
2,8,1.0,-0.0,-0.0,208.0,0.0,22.00
2,9,1.0,-0.0,-0.0,209.0,0.0,22.00
2,10,1.0,-0.0,-0.0,210.0,0.0,22.00
2,11,1.0,-0.0,-0.0,211.0,0.0,22.00
2,12,1.0,-0.0,-0.0,212.0,0.0,0
2,13,1.0,-0.0,-0.0,213.0,0.0,0
2,14,1.0,-0.0,-0.0,214.0,0.0,0
2,15,1.0,-0.0,-0.0,215.0,0.0,0
2,16,1.0,-0.0,-0.0,216.0,0.0,0
2,17,1.0,-0.0,-0.0,217.0,0.0,0
2,18,1.0,-0.0,-0.0,218.0,0.0,0
2,19,1.0,-0.0,-0.0,219.0,0.0,0
2,20,1.0,-0.0,-0.0,220.0,0.0,0
2,21,1.0,-0.0,-0.0,221.0,0.0,0
2,22,1.0,-0.0,-0.0,222.0,0.0,0
2,23,1.0,-0.0,-0.0,223.0,0.0,0
2,24,1.0,-0.0,-0.0,224.0,0.0,22.00
2,25,1.0,-0.0,-0.0,225.0,0.0,22.00
2,26,1.0,-0.0,-0.0,226.0,0.0,22.00
2,27,1.0,-0.0,-0.0,227.0,0.0,22.00
2,28,1.0,-0.0,-0.0,228.0,0.0,22.00
2,29,1.0,-0.0,-0.0,229.0,0.0,22.00
2,30,1.0,-0.0,-0.0,230.0,0.0,22.00
2,31,1.0,-0.0,-0.0,231.0,0.0,22.00
2,32,1.0,-0.0,-0.0,232.0,0.0,22.00
2,33,1.0,-0.0,-0.0,233.0,0.0,22.00
2,34,1.0,-0.0,-0.0,234.0,0.0,22.00
2,35,1.0,-0.0,-0.0,235.0,0.0,22.00
2,36,1.0,-0.0,-0.0,236.0,0.0,22.00
2,37,1.0,-0.0,-0.0,237.0,0.0,0
2,38,1.0,-0.0,-0.0,238.0,0.0,0
2,39,1.0,-0.0,-0.0,239.0,0.0,0
2,40,1.0,-0.0,-0.0,240.0,0.0,0
2,41,1.0,-0.0,-0.0,241.0,0.0,0
2,42,1.0,-0.0,-0.0,242.0,0.0,0
2,43,1.0,-0.0,-0.0,243.0,0.0,0
2,44,1.0,-0.0,-0.0,244.0,0.0,0
2,45,1.0,-0.0,-0.0,245.0,0.0,0
2,46,1.0,-0.0,-0.0,246.0,0.0,0
2,47,1.0,-0.0,-0.0,247.0,0.0,0
2,48,1.0,-0.0,-0.0,248.0,0.0,22.00
3,1,1.0,0.0,0.0,201.0,0.0,22.00
3,2,1.0,-0.0,-0.0,202.0,0.0,22.00
3,3,1.0,-0.0,-0.0,203.0,0.0,22.00
3,4,1.0,-0.0,-0.0,204.0,0.0,22.00
3,5,1.0,-0.0,-0.0,205.0,0.0,22.00
3,6,1.0,-0.0,-0.0,206.0,0.0,22.00
3,7,1.0,-0.0,-0.0,207.0,0.0,22.00
3,8,1.0,-0.0,-0.0,208.0,0.0,22.00
3,9,1.0,-0.0,-0.0,209.0,0.0,22.00
3,10,1.0,-0.0,-0.0,210.0,0.0,22.00
3,11,1.0,-0.0,-0.0,211.0,0.0,22.00
3,12,1.0,-0.0,-0.0,212.0,0.0,0
3,13,1.0,-0.0,-0.0,213.0,0.0,0
3,14,1.0,-0.0,-0.0,214.0,0.0,0
3,15,1.0,-0.0,-0.0,215.0,0.0,0
3,16,1.0,-0.0,-0.0,216.0,0.0,0
3,17,1.0,-0.0,-0.0,217.0,0.0,0
3,18,1.0,-0.0,-0.0,218.0,0.0,0
3,19,1.0,-0.0,-0.0,219.0,0.0,0
3,20,1.0,-0.0,-0.0,220.0,0.0,0
3,21,1.0,-0.0,-0.0,221.0,0.0,0
3,22,1.0,-0.0,-0.0,222.0,0.0,0
3,23,1.0,-0.0,-0.0,223.0,0.0,0
3,24,1.0,-0.0,-0.0,224.0,0.0,22.00
3,25,1.0,-0.0,0.0,225.0,0.0,22.00
3,26,1.0,-0.0,-0.0,226.0,0.0,22.00
3,27,1.0,-0.0,-0.0,227.0,0.0,22.00
3,28,1.0,-0.0,-0.0,228.0,0.0,22.00
3,29,1.0,-0.0,-0.0,229.0,0.0,22.00
3,30,1.0,-0.0,-0.0,230.0,0.0,22.00
3,31,1.0,-0.0,-0.0,231.0,0.0,22.00
3,32,1.0,-0.0,-0.0,232.0,0.0,0
3,33,1.0,-0.0,-0.0,233.0,0.0,22.00
3,34,1.0,-0.0,-0.0,234.0,0.0,22.00
3,35,1.0,-0.0,-0.0,235.0,0.0,22.00
3,36,1.0,-0.0,-0.0,236.0,0.0,22.00
3,37,1.0,-0.0,-0.0,237.0,0.0,0
3,38,1.0,-0.0,-0.0,238.0,0.0,0
3,39,1.0,-0.0,-0.0,239.0,0.0,0
3,40,1.0,-0.0,0.0,240.0,0.0,0
3,41,1.0,-0.0,-0.0,241.0,0.0,0
3,42,1.0,-0.0,0.0,242.0,0.0,0
3,43,1.0,-0.0,-0.0,243.0,0.0,0
3,44,1.0,-0.0,-0.0,244.0,0.0,0
3,45,1.0,-0.0,-0.0,245.0,0.0,0
3,46,1.0,-0.0,-0.0,246.0,0.0,0
3,47,1.0,-0.0,-0.0,247.0,0.0,0
3,48,1.0,-0.0,-0.0,248.0,0.0,0
4,1,1.0,0.0,0.0,201.0,0.0,109.50
4,2,1.0,-0.0,-0.0,202.0,0.0,109.50
4,3,1.0,-0.0,-0.0,203.0,0.0,109.50
4,4,1.0,-0.0,-0.0,204.0,0.0,109.50
4,5,1.0,-0.0,-0.0,205.0,0.0,109.50
4,6,1.0,-0.0,-0.0,206.0,0.0,109.50
4,7,1.0,-0.0,-0.0,207.0,0.0,109.50
4,8,1.0,-0.0,-0.0,208.0,0.0,109.50
4,9,1.0,-0.0,-0.0,209.0,0.0,109.50
4,10,1.0,-0.0,-0.0,210.0,0.0,109.50
4,11,1.0,-0.0,-0.0,211.0,0.0,86.07
4,12,1.0,-0.0,-0.0,212.0,0.0,0
4,13,1.0,-0.0,-0.0,213.0,0.0,0
4,14,1.0,-0.0,-0.0,214.0,0.0,0
4,15,1.0,-0.0,-0.0,215.0,0.0,0
4,16,1.0,-0.0,-0.0,216.0,0.0,0
4,17,1.0,-0.0,-0.0,217.0,0.0,0
4,18,1.0,-0.0,-0.0,218.0,0.0,0
4,19,1.0,-0.0,-0.0,219.0,0.0,0
4,20,1.0,-0.0,-0.0,220.0,0.0,0
4,21,1.0,-0.0,-0.0,221.0,0.0,0
4,22,1.0,-0.0,-0.0,222.0,0.0,0
4,23,1.0,-0.0,-0.0,223.0,0.0,0
4,24,1.0,-0.0,-0.0,224.0,0.0,109.50
4,25,1.0,-0.0,-0.0,225.0,0.0,109.50
4,26,1.0,-0.0,-0.0,226.0,0.0,109.50
4,27,1.0,-0.0,-0.0,227.0,0.0,109.50
4,28,1.0,-0.0,-0.0,228.0,0.0,109.50
4,29,1.0,-0.0,-0.0,229.0,0.0,109.50
4,30,1.0,-0.0,-0.0,230.0,0.0,35.90
4,31,1.0,-0.0,-0.0,231.0,0.0,109.50
4,32,1.0,-0.0,-0.0,232.0,0.0,109.50
4,33,1.0,-0.0,-0.0,233.0,0.0,109.50
4,34,1.0,-0.0,-0.0,234.0,0.0,109.50
4,35,1.0,-0.0,-0.0,235.0,0.0,109.50
4,36,1.0,-0.0,-0.0,236.0,0.0,36.24
4,37,1.0,-0.0,-0.0,237.0,0.0,0
4,38,1.0,-0.0,-0.0,238.0,0.0,0
4,39,1.0,-0.0,-0.0,239.0,0.0,0
4,40,1.0,-0.0,-0.0,240.0,0.0,0
4,41,1.0,-0.0,-0.0,241.0,0.0,0
4,42,1.0,-0.0,-0.0,242.0,0.0,0
4,43,1.0,-0.0,-0.0,243.0,0.0,0
4,44,1.0,-0.0,-0.0,244.0,0.0,0
4,45,1.0,-0.0,-0.0,245.0,0.0,0
4,46,1.0,-0.0,-0.0,246.0,0.0,0
4,47,1.0,-0.0,0.0,247.0,0.0,0
4,48,1.0,-0.0,-0.0,248.0,0.0,0
8,1,1.0,0.0,0.0,201.0,0.0,58.00
8,2,1.0,-0.0,-0.0,202.0,0.0,58.00
8,3,1.0,-0.0,-0.0,203.0,0.0,58.00
8,4,1.0,-0.0,-0.0,204.0,0.0,58.00
8,5,1.0,-0.0,-0.0,205.0,0.0,58.00
8,6,1.0,-0.0,-0.0,206.0,0.0,58.00
8,7,1.0,-0.0,-0.0,207.0,0.0,58.00
8,8,1.0,-0.0,-0.0,208.0,0.0,58.00
8,9,1.0,-0.0,-0.0,209.0,0.0,58.00
8,10,1.0,-0.0,-0.0,210.0,0.0,58.00
8,11,1.0,-0.0,-0.0,211.0,0.0,58.00
8,12,1.0,-0.0,-0.0,212.0,0.0,58.00
8,13,1.0,-0.0,-0.0,213.0,0.0,58.00
8,14,1.0,-0.0,-0.0,214.0,0.0,58.00
8,15,1.0,-0.0,-0.0,215.0,0.0,58.00
8,16,1.0,-0.0,0.0,216.0,0.0,58.00
8,17,1.0,-0.0,0.0,217.0,0.0,58.00
8,18,1.0,-0.0,-0.0,218.0,0.0,58.00
8,19,1.0,-0.0,-0.0,219.0,0.0,58.00
8,20,1.0,-0.0,0.0,220.0,0.0,58.00
8,21,1.0,-0.0,-0.0,221.0,0.0,58.00
8,22,1.0,-0.0,-0.0,222.0,0.0,58.00
8,23,1.0,-0.0,-0.0,223.0,0.0,58.00
8,24,1.0,-0.0,-0.0,224.0,0.0,58.00
8,25,1.0,-0.0,-0.0,225.0,0.0,58.00
8,26,1.0,-0.0,-0.0,226.0,0.0,58.00
8,27,1.0,-0.0,-0.0,227.0,0.0,58.00
8,28,1.0,-0.0,-0.0,228.0,0.0,58.00
8,29,1.0,-0.0,-0.0,229.0,0.0,58.00
8,30,1.0,-0.0,-0.0,230.0,0.0,58.00
8,31,1.0,-0.0,-0.0,231.0,0.0,58.00
8,32,1.0,-0.0,-0.0,232.0,0.0,58.00
8,33,1.0,-0.0,-0.0,233.0,0.0,58.00
8,34,1.0,-0.0,-0.0,234.0,0.0,58.00
8,35,1.0,-0.0,-0.0,235.0,0.0,58.00
8,36,1.0,-0.0,-0.0,236.0,0.0,58.00
8,37,1.0,-0.0,-0.0,237.0,0.0,58.00
8,38,1.0,-0.0,-0.0,238.0,0.0,58.00
8,39,1.0,-0.0,-0.0,239.0,0.0,58.00
8,40,1.0,-0.0,-0.0,240.0,0.0,58.00
8,41,1.0,-0.0,-0.0,241.0,0.0,58.00
8,42,1.0,-0.0,-0.0,242.0,0.0,58.00
8,43,1.0,-0.0,-0.0,243.0,0.0,58.00
8,44,1.0,-0.0,-0.0,244.0,0.0,58.00
8,45,1.0,-0.0,0.0,245.0,0.0,58.00
8,46,1.0,-0.0,-0.0,246.0,0.0,58.00
8,47,1.0,-0.0,-0.0,247.0,0.0,58.00
8,48,-0.0,-0.0,1.0,-0.0,1.0,0
9,1,1.0,0.0,0.0,201.0,0.0,39.50
9,2,1.0,-0.0,-0.0,202.0,0.0,39.50
9,3,1.0,-0.0,-0.0,203.0,0.0,39.50
9,4,1.0,-0.0,-0.0,204.0,0.0,39.50
9,5,1.0,-0.0,-0.0,205.0,0.0,39.50
9,6,1.0,-0.0,-0.0,206.0,0.0,39.50
9,7,1.0,-0.0,-0.0,207.0,0.0,39.50
9,8,1.0,-0.0,-0.0,208.0,0.0,39.50
9,9,1.0,-0.0,-0.0,209.0,0.0,39.50
9,10,1.0,-0.0,-0.0,210.0,0.0,39.50
9,11,1.0,-0.0,-0.0,211.0,0.0,39.50
9,12,1.0,-0.0,-0.0,212.0,0.0,0
9,13,1.0,-0.0,-0.0,213.0,0.0,0
9,14,1.0,-0.0,-0.0,214.0,0.0,0
9,15,1.0,-0.0,-0.0,215.0,0.0,0
9,16,1.0,-0.0,-0.0,216.0,0.0,0
9,17,1.0,-0.0,-0.0,217.0,0.0,0
9,18,1.0,-0.0,-0.0,218.0,0.0,0
9,19,1.0,-0.0,-0.0,219.0,0.0,0
9,20,1.0,-0.0,-0.0,220.0,0.0,0
9,21,1.0,-0.0,-0.0,221.0,0.0,0
9,22,1.0,-0.0,-0.0,222.0,0.0,0
9,23,1.0,-0.0,-0.0,223.0,0.0,0
9,24,1.0,-0.0,-0.0,224.0,0.0,39.50
9,25,1.0,-0.0,-0.0,225.0,0.0,39.50
9,26,1.0,-0.0,-0.0,226.0,0.0,39.50
9,27,1.0,-0.0,-0.0,227.0,0.0,39.50
9,28,1.0,-0.0,-0.0,228.0,0.0,39.50
9,29,1.0,-0.0,-0.0,229.0,0.0,39.50
9,30,1.0,-0.0,-0.0,230.0,0.0,39.50
9,31,1.0,-0.0,-0.0,231.0,0.0,39.50
9,32,1.0,-0.0,-0.0,232.0,0.0,39.50
9,33,1.0,-0.0,-0.0,233.0,0.0,39.50
9,34,1.0,-0.0,-0.0,234.0,0.0,39.50
9,35,1.0,-0.0,-0.0,235.0,0.0,39.50
9,36,1.0,-0.0,-0.0,236.0,0.0,39.50
9,37,1.0,-0.0,-0.0,237.0,0.0,0
9,38,1.0,-0.0,-0.0,238.0,0.0,0
9,39,1.0,-0.0,-0.0,239.0,0.0,0
9,40,1.0,-0.0,-0.0,240.0,0.0,0
9,41,1.0,-0.0,-0.0,241.0,0.0,0
9,42,1.0,-0.0,-0.0,242.0,0.0,0
9,43,1.0,-0.0,-0.0,243.0,0.0,0
9,44,1.0,-0.0,-0.0,244.0,0.0,0
9,45,1.0,-0.0,-0.0,245.0,0.0,0
9,46,1.0,-0.0,-0.0,246.0,0.0,0
9,47,1.0,-0.0,-0.0,247.0,0.0,0
9,48,1.0,-0.0,-0.0,248.0,0.0,39.50
10,1,1.0,0.0,0.0,201.0,0.0,0
10,2,1.0,-0.0,-0.0,202.0,0.0,0
10,3,1.0,-0.0,-0.0,203.0,0.0,0
10,4,1.0,-0.0,-0.0,204.0,0.0,0
10,5,1.0,-0.0,-0.0,205.0,0.0,0
10,6,1.0,-0.0,-0.0,206.0,0.0,0
10,7,1.0,-0.0,-0.0,207.0,0.0,0
10,8,1.0,-0.0,-0.0,208.0,0.0,0
10,9,1.0,-0.0,-0.0,209.0,0.0,0
10,10,1.0,-0.0,-0.0,210.0,0.0,0
10,11,1.0,-0.0,-0.0,211.0,0.0,0
10,12,1.0,-0.0,-0.0,212.0,0.0,0
10,13,1.0,-0.0,-0.0,213.0,0.0,0
10,14,1.0,-0.0,-0.0,214.0,0.0,0
10,15,1.0,-0.0,-0.0,215.0,0.0,0
10,16,1.0,-0.0,-0.0,216.0,0.0,0
10,17,1.0,-0.0,-0.0,217.0,0.0,0
10,18,1.0,-0.0,-0.0,218.0,0.0,0
10,19,1.0,-0.0,-0.0,219.0,0.0,0
10,20,1.0,-0.0,-0.0,220.0,0.0,0
10,21,1.0,-0.0,-0.0,221.0,0.0,0
10,22,1.0,-0.0,-0.0,222.0,0.0,0
10,23,1.0,-0.0,-0.0,223.0,0.0,0
10,24,1.0,-0.0,-0.0,224.0,0.0,0
10,25,1.0,-0.0,-0.0,225.0,0.0,5.50
10,26,1.0,-0.0,-0.0,226.0,0.0,5.50
10,27,1.0,-0.0,0.0,227.0,0.0,1.10
10,28,1.0,-0.0,-0.0,228.0,0.0,0
10,29,1.0,-0.0,-0.0,229.0,0.0,5.50
10,30,1.0,-0.0,-0.0,230.0,0.0,0
10,31,1.0,-0.0,-0.0,231.0,0.0,0
10,32,1.0,-0.0,-0.0,232.0,0.0,0
10,33,1.0,-0.0,-0.0,233.0,0.0,0
10,34,1.0,-0.0,0.0,234.0,0.0,5.50
10,35,1.0,-0.0,-0.0,235.0,0.0,5.50
10,36,1.0,-0.0,-0.0,236.0,0.0,0
10,37,1.0,-0.0,-0.0,237.0,0.0,0
10,38,1.0,-0.0,0.0,238.0,0.0,0
10,39,1.0,-0.0,0.0,239.0,0.0,0
10,40,1.0,-0.0,0.0,240.0,0.0,0
10,41,1.0,-0.0,-0.0,241.0,0.0,0
10,42,1.0,-0.0,0.0,242.0,0.0,0
10,43,1.0,-0.0,-0.0,243.0,0.0,0
10,44,1.0,-0.0,-0.0,244.0,0.0,0
10,45,1.0,-0.0,-0.0,245.0,0.0,0
10,46,1.0,-0.0,-0.0,246.0,0.0,0
10,47,1.0,-0.0,-0.0,247.0,0.0,0
10,48,1.0,-0.0,-0.0,248.0,0.0,0
12,1,-0.0,0.0,1.0,-0.0,1.0,0
12,2,-0.0,-0.0,-0.0,-0.0,2.0,0
12,3,-0.0,-0.0,-0.0,-0.0,3.0,0
12,4,-0.0,-0.0,-0.0,-0.0,4.0,0
12,5,-0.0,-0.0,-0.0,-0.0,5.0,0
12,6,-0.0,-0.0,-0.0,-0.0,6.0,0
12,7,-0.0,-0.0,-0.0,-0.0,7.0,0
12,8,-0.0,-0.0,-0.0,-0.0,8.0,0
12,9,0.0,-0.0,-0.0,0.0,9.0,0
12,10,-0.0,-0.0,-0.0,0.0,10.0,0
12,11,-0.0,-0.0,-0.0,0.0,11.0,0
12,12,-0.0,-0.0,-0.0,0.0,12.0,0
12,13,0.0,-0.0,0.0,0.0,13.0,0
12,14,0.0,-0.0,-0.0,0.0,14.0,0
12,15,0.0,-0.0,-0.0,0.0,15.0,0
12,16,-0.0,-0.0,-0.0,0.0,16.0,0
12,17,0.0,-0.0,-0.0,0.0,17.0,0
12,18,0.0,-0.0,-0.0,0.0,18.0,0
12,19,0.0,-0.0,0.0,0.0,19.0,0
12,20,0.0,-0.0,-0.0,0.0,20.0,0
12,21,0.0,-0.0,0.0,0.0,21.0,0
12,22,0.0,-0.0,0.0,0.0,22.0,0
12,23,-0.0,-0.0,0.0,0.0,23.0,0
12,24,-0.0,-0.0,-0.0,0.0,24.0,0
12,25,-0.0,-0.0,-0.0,0.0,25.0,0
12,26,-0.0,-0.0,-0.0,0.0,26.0,0
12,27,-0.0,-0.0,-0.0,0.0,27.0,0
12,28,-0.0,-0.0,-0.0,0.0,28.0,0
12,29,0.0,-0.0,-0.0,0.0,29.0,0
12,30,0.0,-0.0,-0.0,0.0,30.0,0
12,31,-0.0,-0.0,0.0,0.0,31.0,0
12,32,0.0,-0.0,-0.0,0.0,32.0,0
12,33,0.0,-0.0,-0.0,0.0,33.0,0
12,34,0.0,-0.0,-0.0,0.0,34.0,0
12,35,0.0,-0.0,-0.0,0.0,35.0,0
12,36,0.0,-0.0,-0.0,0.0,36.0,0
12,37,0.0,-0.0,-0.0,0.0,37.0,0
12,38,0.0,-0.0,-0.0,0.0,38.0,0
12,39,0.0,-0.0,-0.0,0.0,39.0,0
12,40,0.0,-0.0,-0.0,0.0,40.0,0
12,41,0.0,-0.0,-0.0,0.0,41.0,0
12,42,0.0,0.0,-0.0,0.0,42.0,0
12,43,0.0,-0.0,0.0,0.0,43.0,0
12,44,0.0,-0.0,-0.0,0.0,44.0,0
12,45,0.0,-0.0,-0.0,0.0,45.0,0
12,46,0.0,-0.0,0.0,0.0,46.0,0
12,47,-0.0,-0.0,0.0,0.0,47.0,0
12,48,0.0,-0.0,-0.0,0.0,48.0,0
13,1,1.0,0.0,0.0,201.0,0.0,55.00
13,2,1.0,-0.0,-0.0,202.0,0.0,55.00
13,3,1.0,-0.0,-0.0,203.0,0.0,55.00
13,4,1.0,-0.0,-0.0,204.0,0.0,55.00
13,5,1.0,-0.0,-0.0,205.0,0.0,55.00
13,6,1.0,-0.0,-0.0,206.0,0.0,55.00
13,7,1.0,-0.0,-0.0,207.0,0.0,55.00
13,8,1.0,-0.0,-0.0,208.0,0.0,55.00
13,9,1.0,-0.0,-0.0,209.0,0.0,55.00
13,10,1.0,-0.0,-0.0,210.0,0.0,55.00
13,11,1.0,-0.0,-0.0,211.0,0.0,0
13,12,1.0,-0.0,-0.0,212.0,0.0,0
13,13,1.0,-0.0,-0.0,213.0,0.0,0
13,14,1.0,-0.0,-0.0,214.0,0.0,0
13,15,1.0,-0.0,-0.0,215.0,0.0,0
13,16,1.0,-0.0,-0.0,216.0,0.0,0
13,17,1.0,-0.0,-0.0,217.0,0.0,0
13,18,1.0,-0.0,-0.0,218.0,0.0,0
13,19,1.0,-0.0,-0.0,219.0,0.0,0
13,20,1.0,-0.0,-0.0,220.0,0.0,0
13,21,1.0,-0.0,-0.0,221.0,0.0,0
13,22,1.0,-0.0,-0.0,222.0,0.0,0
13,23,1.0,-0.0,-0.0,223.0,0.0,0
13,24,1.0,-0.0,-0.0,224.0,0.0,2.07
13,25,1.0,-0.0,-0.0,225.0,0.0,55.00
13,26,1.0,-0.0,-0.0,226.0,0.0,55.00
13,27,1.0,-0.0,-0.0,227.0,0.0,55.00
13,28,1.0,-0.0,-0.0,228.0,0.0,55.00
13,29,1.0,-0.0,-0.0,229.0,0.0,55.00
13,30,1.0,-0.0,-0.0,230.0,0.0,11.00
13,31,1.0,-0.0,-0.0,231.0,0.0,55.00
13,32,1.0,-0.0,-0.0,232.0,0.0,55.00
13,33,1.0,-0.0,-0.0,233.0,0.0,55.00
13,34,1.0,-0.0,-0.0,234.0,0.0,55.00
13,35,1.0,-0.0,-0.0,235.0,0.0,55.00
